活动,时长,开始时间,结束时间,起,止,,
学习,2:39,2020/7/22 9:23,2020/7/22 12:02,9:23,12:02,,
家务,1:46,2020/7/22 7:37,2020/7/22 9:23,,,,
睡眠,6:51,2020/7/22 0:45,2020/7/22 7:37,0:45,7:37,,
家务,0:55,2020/7/21 23:50,2020/7/22 0:45,,,,
写作,3:50,2020/7/21 19:59,2020/7/21 23:50,19:59,23:50,,
家务,0:24,2020/7/21 19:34,2020/7/21 19:59,,,,
电影,1:29,2020/7/21 18:04,2020/7/21 19:34,18:04,19:34,,
用餐,0:59,2020/7/21 18:04,2020/7/21 19:03,18:04,19:03,,
家务,0:20,2020/7/21 17:43,2020/7/21 18:04,,,,
学习,0:33,2020/7/21 17:10,2020/7/21 17:43,,17:43,,
家务,0:18,2020/7/21 16:51,2020/7/21 17:10,,,,
学习,2:20,2020/7/21 14:30,2020/7/21 16:51,14:30,16:51,,
家务,1:06,2020/7/21 13:23,2020/7/21 14:30,,,,
睡眠,1:05,2020/7/21 12:18,2020/7/21 13:23,12:18,13:23,,
用餐,0:28,2020/7/21 11:35,2020/7/21 12:04,11:35,12:04,,
学习,3:17,2020/7/21 9:00,2020/7/21 12:18,9:00,12:18,,
家务,1:34,2020/7/21 7:25,2020/7/21 9:00,,,,
睡眠,6:28,2020/7/21 0:57,2020/7/21 7:25,0:57,7:25,,
家务,0:51,2020/7/21 0:05,2020/7/21 0:57,,,,
写作,4:10,2020/7/20 19:55,2020/7/21 0:05,19:55,0:05,,
电影,1:25,2020/7/20 18:29,2020/7/20 19:55,18:29,19:55,,
用餐,0:53,2020/7/20 18:29,2020/7/20 19:23,18:29,19:23,,
家务,1:48,2020/7/20 16:41,2020/7/20 18:29,,,,
学习,2:02,2020/7/20 14:39,2020/7/20 16:41,14:39,16:41,,
家务,1:23,2020/7/20 13:15,2020/7/20 14:39,,,,
睡眠,1:02,2020/7/20 12:13,2020/7/20 13:15,12:13,13:15,,
家务,0:23,2020/7/20 11:49,2020/7/20 12:12,,,,
用餐,0:34,2020/7/20 11:15,2020/7/20 11:49,11:15,11:49,,
家务,0:11,2020/7/20 11:04,2020/7/20 11:15,,,,
学习,2:10,2020/7/20 8:54,2020/7/20 11:04,8:54,11:04,,
家务,1:14,2020/7/20 7:39,2020/7/20 8:54,,,,
睡眠,5:43,2020/7/20 1:55,2020/7/20 7:39,1:55,7:39,,
家务,0:54,2020/7/20 1:01,2020/7/20 1:55,,,,
写作,3:54,2020/7/19 21:07,2020/7/20 1:01,21:07,1:01,,
阅读,0:27,2020/7/19 20:40,2020/7/19 21:07,,,,
家务,0:19,2020/7/19 20:20,2020/7/19 20:40,,,,
用餐,1:03,2020/7/19 18:31,2020/7/19 19:35,18:31,19:35,,
阅读,4:48,2020/7/19 15:31,2020/7/19 20:20,,,,
家务,6:36,2020/7/19 8:54,2020/7/19 15:31,,,,
睡眠,7:51,2020/7/19 1:02,2020/7/19 8:54,1:02,8:54,,
电影,1:20,2020/7/18 22:21,2020/7/18 23:41,,23:41,,
家务,3:22,2020/7/18 21:40,2020/7/19 1:02,,,,
用餐,0:48,2020/7/18 18:56,2020/7/18 19:45,18:56,19:45,,
电影,2:43,2020/7/18 18:56,2020/7/18 21:40,18:56,,,
家务,2:01,2020/7/18 16:55,2020/7/18 18:56,,,,
电影,3:48,2020/7/18 13:06,2020/7/18 16:55,,,,
家务,2:00,2020/7/18 11:06,2020/7/18 13:06,,,,
睡眠,9:44,2020/7/18 1:22,2020/7/18 11:06,1:22,11:06,,
家务,1:50,2020/7/17 23:31,2020/7/18 1:22,,,,
电影,0:33,2020/7/17 22:58,2020/7/17 23:31,,23:31,,
社交,0:33,2020/7/17 22:24,2020/7/17 22:58,,,,
电影,2:22,2020/7/17 20:02,2020/7/17 22:24,20:02,,,
家务,0:08,2020/7/17 19:53,2020/7/17 20:02,,,,
电影,1:29,2020/7/17 18:23,2020/7/17 19:53,18:23,19:53,,
用餐,1:29,2020/7/17 18:23,2020/7/17 19:53,18:23,19:53,,
家务,1:39,2020/7/17 16:43,2020/7/17 18:23,,,,
学习,1:16,2020/7/17 15:27,2020/7/17 16:43,,16:43,,
家务,0:24,2020/7/17 15:02,2020/7/17 15:27,,,,
社交,1:01,2020/7/17 14:00,2020/7/17 15:02,,,,
学习,2:10,2020/7/17 11:50,2020/7/17 14:00,11:50,,,
家务,0:29,2020/7/17 11:20,2020/7/17 11:50,,,,
学习,1:40,2020/7/17 9:40,2020/7/17 11:20,9:40,11:20,,
家务,1:26,2020/7/17 8:13,2020/7/17 9:40,,,,
睡眠,6:29,2020/7/17 1:44,2020/7/17 8:13,1:44,8:13,,
家务,4:24,2020/7/16 21:20,2020/7/17 1:44,,,,
电影,2:26,2020/7/16 18:53,2020/7/16 21:20,18:53,21:20,,
用餐,0:54,2020/7/16 18:53,2020/7/16 19:48,18:53,19:48,,
家务,0:55,2020/7/16 17:58,2020/7/16 18:53,,,,
学习,2:23,2020/7/16 15:34,2020/7/16 17:58,,17:58,,
学习,0:30,2020/7/16 14:39,2020/7/16 15:09,14:39,,,
家务,2:14,2020/7/16 13:20,2020/7/16 15:34,,,,
学习,4:08,2020/7/16 9:12,2020/7/16 13:20,9:12,13:20,,
家务,2:01,2020/7/16 7:11,2020/7/16 9:12,,,,
睡眠,6:30,2020/7/16 0:41,2020/7/16 7:11,0:41,7:11,,
学习,0:15,2020/7/15 23:05,2020/7/15 23:21,,23:21,,
家务,4:12,2020/7/15 20:28,2020/7/16 0:41,,,,
电影,2:11,2020/7/15 18:16,2020/7/15 20:28,18:16,20:28,,
用餐,1:11,2020/7/15 18:16,2020/7/15 19:28,18:16,19:28,,
家务,3:17,2020/7/15 14:58,2020/7/15 18:16,,,,
社交,0:58,2020/7/15 14:00,2020/7/15 14:58,,,,
学习,0:15,2020/7/15 13:45,2020/7/15 14:00,13:45,,,
